listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
72990549,Chennai,Maduranthakam,Plot/Land,14400,n/a,n/a,n/a,n/a,₹ 48.2 Lac,4820,335
73657195,Chennai,Perungalathur,Plot/Land,646,n/a,n/a,n/a,n/a,₹ 38.8 Lac,3879,6000
70691595,Chennai,Oragadam,Plot/Land,1800,n/a,n/a,n/a,n/a,₹ 13.5 Lac,1350,750
74309201,Chennai,Valasaravakkam,Builder Floor,1000,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.74 Cr,17400,12889
27865287,Chennai,Kodambakkam,Plot/Land,2403,n/a,n/a,n/a,n/a,₹ 51 Lac,5100,2122
73344531,Chennai,Oragadam,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 24 Lac,2400,2000
52849947,Chennai,Sunguvarchatram,Plot/Land,2860,n/a,n/a,n/a,n/a,₹ 69 Lac,6900,2413
73850489,Chennai,Navalur,Plot/Land,1500,n/a,n/a,n/a,n/a,₹ 84 Lac,8400,5600
71811773,Chennai,Medavakkam,Apartment,945,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 80 Lac,8000,7018
60526305,Chennai,Thirumullaivoyal,Plot/Land,2620,n/a,n/a,n/a,n/a,₹ 78.6 Lac,7859,3000
71454603,Chennai,Maduranthakam,Plot/Land,1200,n/a,n/a,n/a,n/a,₹ 7 Lac,700,583
70155767,Chennai,Perumbakkam,Plot/Land,1100,n/a,n/a,n/a,n/a,₹ 55 Lac,5500,5000
64730523,Chennai,Mylapore,Apartment,2065,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 3.75 Cr,37500,18160
27344637,Chennai,Cholapuram,Plot/Land,4800,n/a,n/a,n/a,n/a,₹ 2.20 Cr,22000,4583
70005973,Chennai,Rajakilpakkam,Apartment,890,2 BHK,Furnished,Resale,Ready to Move,₹ 46 Lac,4600,5169
70524009,Chennai,Korattur,Apartment,333,3 BHK,Furnished,Resale,Ready to Move,₹ 1.50 Cr,15000,8671
74282533,Chennai,Madipakkam,Plot/Land,1600,n/a,n/a,n/a,n/a,₹ 1.05 Cr,10500,6562
72904659,Chennai,Avadi,Plot/Land,3816,n/a,n/a,n/a,n/a,₹ 57.2 Lac,5720,1500
73796983,Chennai,Mambalam,Builder Floor,900,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 1.37 Cr,13700,15222
73661245,Chennai,Mambalam,Apartment,1600,4 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.90 Cr,29000,14918
70136067,Chennai,Sholinganallur,Villa,1641,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 2.20 Cr,22000,13406
65556115,Chennai,Navalur,Villa,2537,3 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 4.30 Cr,43000,13703
72124193,Chennai,Guduvancheri,Plot/Land,600,n/a,n/a,n/a,n/a,₹ 15.6 Lac,1560,2599
73221911,Chennai,Nagar,House,900,1 BHK,Semi-Furnished,Resale,Ready to Move,₹ 89 Lac,8900,8091
68243639,Chennai,Medavakkam,Plot/Land,900,n/a,n/a,n/a,n/a,₹ 42 Lac,4200,4667
